time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2019/07/11/08:55:54.771398,1.5,0.0,0.0,0.0,0.0,0.0628140687943
2019/07/11/08:55:54.771415,1.5,0.0,0.0,0.0,0.0,0.00100972671062
2019/07/11/08:55:54.771425,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.772691,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.772700,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.772715,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.775288,-0.0,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.775302,1.05268585682,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.775307,1.07093158364,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.776011,1.10480707884,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.776021,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.776044,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.777025,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.777037,0.13222579658,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.777044,0.033084243536,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.777497,0.0,0.0,0.0,0.0,0.0,0.0
2019/07/11/08:55:54.777503,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:54.777523,-0.0,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:54.778160,0.432331725955,0.0,0.0,0.0,0.0,-0.4
2019/07/11/08:55:54.778166,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.778191,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.778812,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.778818,1.5,0.0,0.0,0.0,0.0,-0.0315631151199
2019/07/11/08:55:54.778837,1.5,0.0,0.0,0.0,0.0,-0.0329756855965
2019/07/11/08:55:54.779770,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.779786,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.779793,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.780290,1.5,0.0,0.0,0.0,0.0,-0.0
2019/07/11/08:55:54.780298,-0.0,0.0,0.0,0.0,0.0,0.4
2019/07/11/08:55:54.780309,0.154072701931,0.0,0.0,0.0,0.0,0.4
2019/07/11/08:55:54.781435,0.203098505735,0.0,0.0,0.0,0.0,0.4
2019/07/11/08:55:54.781443,0.5,0.0,0.0,0.0,0.0,0.147236979008
2019/07/11/08:55:54.781457,0.5,0.0,0.0,0.0,0.0,0.142667925358
2019/07/11/08:55:54.782948,0.5,0.0,0.0,0.0,0.0,0.125717079639
2019/07/11/08:55:54.782957,0.5,0.0,0.0,0.0,0.0,0.12569963932
2019/07/11/08:55:54.782975,0.5,0.0,0.0,0.0,0.0,0.128821241856
2019/07/11/08:55:54.783516,0.5,0.0,0.0,0.0,0.0,0.133250784874
2019/07/11/08:55:54.783527,0.5,0.0,0.0,0.0,0.0,0.00196887981147
