time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/07/11/08:55:45.063783,55,1562828145,63637018,map,0,1,47.0591045,15.458599,408.1,"(0.5292562500000001, 0.0, 0.0, 0.0, 0.8099999999999998, 0.0, 0.0, 0.0, 144.0)",1
2019/07/11/08:55:46.061120,56,1562828146,60951948,map,0,1,47.0591041667,15.4585946667,408.0,"(0.5578596100000001, 0.0, 0.0, 0.0, 0.7174090000000002, 0.0, 0.0, 0.0, 151.7824)",1
2019/07/11/08:55:47.062574,57,1562828147,62366962,map,0,1,47.0591041667,15.4585891667,407.9,"(0.47430768999999995, 0.0, 0.0, 0.0, 0.6099610000000001, 0.0, 0.0, 0.0, 129.0496)",1
2019/07/11/08:55:48.063508,58,1562828148,63286066,map,0,1,47.0591041667,15.4585843333,407.8,"(0.43877375999999985, 0.0, 0.0, 0.0, 0.5760810000000001, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:49.063341,59,1562828149,63143014,map,0,1,47.0591036667,15.458582,407.7,"(0.42968025, 0.0, 0.0, 0.0, 0.5760810000000001, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:50.059247,60,1562828150,59123039,map,0,1,47.059103,15.4585806667,407.7,"(0.42068195999999997, 0.0, 0.0, 0.0, 0.5760810000000001, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:51.062674,61,1562828151,62539100,map,0,1,47.059102,15.4585795,407.8,"(0.4117788899999999, 0.0, 0.0, 0.0, 0.5760810000000001, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:52.062930,62,1562828152,62700986,map,0,1,47.0591011667,15.4585785,407.9,"(0.40297104000000006, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:53.063316,63,1562828153,63173055,map,0,1,47.0591003333,15.4585775,408.0,"(0.39425841, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:54.064278,64,1562828154,64076900,map,0,1,47.0590991667,15.4585765,408.0,"(0.385641, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:55.063269,65,1562828155,62999963,map,0,1,47.059098,15.4585756667,408.1,"(0.385641, 0.0, 0.0, 0.0, 0.4760999999999999, 0.0, 0.0, 0.0, 121.88159999999998)",1
2019/07/11/08:55:56.062872,66,1562828156,62695980,map,0,1,47.059097,15.4585746667,408.2,"(0.35557369000000005, 0.0, 0.0, 0.0, 0.4489000000000001, 0.0, 0.0, 0.0, 114.91840000000002)",1
